time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging
2026-03-02T00:27:21.000Z,24.056088756769896,-106.77046584896743,389.0,8.163265,230.0,19.67,21,gps,0.8,2.2,2.4,-27.7,,,,26,,1772411241000,2026-03-01T17:27:21.000-07:00,2788916.3049150305,1772151526117,Default Profile,true
2026-03-02T00:28:26.000Z,24.05603205319494,-106.77097261883318,398.0,9.693877,278.1,20.43,14,gps,0.6,1.2,1.4,-27.7,,,,27,,1772411306000,2026-03-01T17:28:26.000-07:00,2788968.1458292934,1772151526117,Default Profile,true
2026-03-02T00:29:33.000Z,24.05653559602797,-106.77171894349158,386.0,8.163265,331.0,20.35,18,gps,0.6,1.8,1.8,-27.7,,,,28,,1772411373000,2026-03-01T17:29:33.000-07:00,2789062.36682868,1772151526117,Default Profile,true
2026-03-02T00:30:38.000Z,24.05689941253513,-106.77185556851327,399.0,7.6530614,1.4,20.289999,17,gps,0.6,1.4,1.6,-27.7,,,,29,,1772411438000,2026-03-01T17:30:38.000-07:00,2789105.1338247806,1772151526117,Default Profile,true
2026-03-02T00:31:43.000Z,24.057340929284692,-106.77172715775669,398.0,9.183674,31.6,20.31,17,gps,,,,-27.7,,,,30,,1772411503000,2026-03-01T17:31:43.000-07:00,2789155.9301001066,1772151526117,Default Profile,true
2026-03-02T00:32:47.000Z,24.056944171898067,-106.77156396210194,394.0,8.163265,48.3,20.33,8,gps,,,,-27.7,,,,31,,1772411567000,2026-03-01T17:32:47.000-07:00,2789203.0567475017,1772151526117,Default Profile,true
2026-03-02T00:38:03.000Z,24.057251033373177,-106.77164669148624,387.0,20.918367,23.5,19.52,5,gps,,,,-32.1,,,,36,,1772411883000,2026-03-01T17:38:03.000-07:00,2789238.1969451196,1772151526117,Default Profile,true
2026-03-02T00:39:10.000Z,24.268772802315652,-106.74699207767844,3475.0,16.32653,174.3,46.789997,4,gps,1.0,2.4,2.6,-27.7,,,,37,,1772411950000,2026-03-01T17:39:10.000-07:00,2812890.9705176926,1772151526117,Default Profile,true
2026-03-02T01:39:41.000Z,24.056060719303787,-106.77054857835174,388.0,14.795918,249.7,21.5,8,gps,,,,-27.7,,,,24,,1772415581000,2026-03-01T18:39:41.000-07:00,3470751.3556950837,1772151526117,Default Profile,false
2026-03-02T01:49:53.000Z,24.056601310148835,-106.77173101343215,389.0,7.6530614,340.2,20.14,11,gps,0.4,0.6,0.8,-32.1,,,,20,,1772416193000,2026-03-01T18:49:53.000-07:00,3470885.624007422,1772151526117,Default Profile,true
2026-03-02T01:51:02.000Z,24.057655837386847,-106.77145055495203,391.0,8.163265,50.8,20.25,10,gps,0.8,1.4,1.6,-27.7,,,,20,,1772416262000,2026-03-01T18:51:02.000-07:00,3471006.29042042,1772151526117,Default Profile,true
2026-03-02T01:52:07.000Z,24.05777519568801,-106.77105182781816,403.0,8.163265,74.4,20.17,15,gps,0.8,1.4,1.6,-27.7,,,,21,,1772416327000,2026-03-01T18:52:07.000-07:00,3471048.8955298667,1772151526117,Default Profile,true
2026-03-02T01:53:12.000Z,24.057837263680995,-106.7706970218569,390.0,6.632653,100.2,20.24,21,gps,0.6,1.0,1.2,-27.7,,,,21,,1772416392000,2026-03-01T18:53:12.000-07:00,3471085.576225332,1772151526117,Default Profile,true
