time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging
2024-12-03T11:22:53.699Z,32.61156261898577,-111.2430237326771,604.0,23.5,0.0,0.21,3,gps,0.6,1.0,1.2,-27.3,,,,98,,1733224973699,2024-12-03T04:22:53.699-07:00,0.0,1733224973825,Default Profile,false
2024-12-03T11:23:57.000Z,32.611567648127675,-111.24295952729881,626.0,32.5,0.0,0.06,15,gps,0.8,1.0,1.4,-27.3,,,,98,,1733225037000,2024-12-03T04:23:57.000-07:00,6.039698813373607,1733224973825,Default Profile,false
2024-12-03T11:25:00.000Z,32.611562996171415,-111.24295609071851,638.0,23.5,0.0,0.29999998,19,gps,,,,-27.3,,,,98,,1733225100000,2024-12-03T04:25:00.000-07:00,6.648946126833398,1733224973825,Default Profile,false
2024-12-03T11:26:03.000Z,32.611525068059564,-111.24294502660632,622.0,25.0,0.0,0.78,13,gps,0.8,1.8,2.0,-27.3,,,,98,,1733225163000,2024-12-03T04:26:03.000-07:00,10.991816400071711,1733224973825,Default Profile,false
2024-12-03T11:27:06.000Z,32.61152406223118,-111.24297285452485,614.0,24.0,252.0,1.8199999,19,gps,0.6,1.0,1.2,-27.3,,,,98,,1733225226000,2024-12-03T04:27:06.000-07:00,13.600699610860651,1733224973825,Default Profile,false
2024-12-03T11:28:09.000Z,32.61153684463352,-111.24295265413821,633.0,24.0,0.0,0.17,13,gps,0.8,1.8,2.0,-27.3,,,,97,,1733225289000,2024-12-03T04:28:09.000-07:00,15.967148558585983,1733224973825,Default Profile,false
2024-12-03T11:29:12.000Z,32.61151232756674,-111.24294988811016,615.0,32.5,0.0,0.34,19,gps,0.6,1.0,1.2,-27.3,,,,97,,1733225352000,2024-12-03T04:29:12.000-07:00,18.705604912433053,1733224973825,Default Profile,false
2024-12-03T11:30:15.000Z,32.61160251684487,-111.24298685230315,623.0,38.0,28.4,0.88,15,gps,0.6,1.0,1.2,-27.3,,,,97,,1733225415000,2024-12-03T04:30:15.000-07:00,29.315017538354823,1733224973825,Default Profile,false
2024-12-03T11:31:18.000Z,32.611590907908976,-111.24293681234121,638.0,29.0,0.0,0.97999996,14,gps,1.0,1.0,1.2,-27.3,,,,97,,1733225478000,2024-12-03T04:31:18.000-07:00,34.17648683907204,1733224973825,Default Profile,false
2024-12-03T11:32:21.000Z,32.611546819098294,-111.2429378181696,622.0,33.0,0.0,0.22999999,13,gps,1.0,2.0,2.4,-27.3,,,,97,,1733225541000,2024-12-03T04:32:21.000-07:00,39.07984404263323,1733224973825,Default Profile,false
2024-12-03T11:33:24.000Z,32.6115465676412,-111.24292960390449,634.0,27.5,0.0,0.19999999,12,gps,0.6,1.0,1.4,-27.3,,,,97,,1733225604000,2024-12-03T04:33:24.000-07:00,39.849735808659545,1733224973825,Default Profile,false
2024-12-03T11:34:29.000Z,32.61159350629896,-111.24296916648746,622.0,22.5,0.0,0.03,19,gps,0.6,1.2,1.4,-27.3,,,,97,,1733225669000,2024-12-03T04:34:29.000-07:00,46.250752097866894,1733224973825,Default Profile,false
2024-12-03T11:35:34.000Z,32.61154401116073,-111.24295164830983,642.0,21.0,0.0,0.19,19,gps,0.8,1.6,1.8,-27.3,,,,97,,1733225734000,2024-12-03T04:35:34.000-07:00,51.9937497398056,1733224973825,Default Profile,false
2024-12-03T11:36:37.000Z,32.61160934809595,-111.24298852868378,628.0,33.5,0.0,0.58,5,gps,0.6,1.0,1.2,-27.3,,,,97,,1733225797000,2024-12-03T04:36:37.000-07:00,60.03830729153281,1733224973825,Default Profile,false
2024-12-03T11:37:41.000Z,32.611550339497626,-111.24300294555724,661.0,32.5,0.0,0.01,16,gps,1.2,2.4,2.6,-27.3,,,,97,,1733225861000,2024-12-03T04:37:41.000-07:00,66.73727370590052,1733224973825,Default Profile,false
2024-12-03T11:38:44.000Z,32.611561277881265,-111.24303370714188,662.0,38.5,0.0,0.69,5,gps,1.2,2.4,2.6,-27.3,,,,97,,1733225924000,2024-12-03T04:38:44.000-07:00,69.8647405664542,1733224973825,Default Profile,false
2024-12-03T11:39:49.000Z,32.61161492206156,-111.24311266466975,626.0,27.0,0.0,0.26999998,16,gps,1.0,1.2,1.6,-27.3,,,,96,,1733225989000,2024-12-03T04:39:49.000-07:00,79.36601500994446,1733224973825,Default Profile,false
2024-12-03T11:40:52.000Z,32.61151060927659,-111.24309288337827,651.0,37.0,0.0,0.37,3,gps,0.6,1.0,1.2,-27.3,,,,96,,1733226052000,2024-12-03T04:40:52.000-07:00,91.11211615528032,1733224973825,Default Profile,false
2024-12-03T11:41:56.000Z,32.611551764421165,-111.2429407518357,652.0,35.5,0.0,0.65,13,gps,1.0,1.6,1.8,-27.3,,,,96,,1733226116000,2024-12-03T04:41:56.000-07:00,106.07823501045402,1733224973825,Default Profile,false
2024-12-03T11:43:00.000Z,32.61158240027726,-111.24299406073987,608.0,26.5,0.0,0.17999999,15,gps,1.0,2.0,2.2,-27.3,,,,96,,1733226180000,2024-12-03T04:43:00.000-07:00,112.12274269201885,1733224973825,Default Profile,false
2024-12-03T11:44:03.000Z,32.61157334782183,-111.24294653534889,631.0,22.0,0.0,0.63,10,gps,1.0,1.4,1.8,-27.3,,,,96,,1733226243000,2024-12-03T04:44:03.000-07:00,116.68656556302268,1733224973825,Default Profile,false
2024-12-03T11:45:06.000Z,32.61156282853335,-111.24305843375623,624.0,24.5,0.0,0.21,11,gps,0.8,1.4,1.6,-27.3,,,,96,,1733226306000,2024-12-03T04:45:06.000-07:00,127.23252362617306,1733224973825,Default Profile,false
2024-12-03T11:46:09.000Z,32.6115172309801,-111.24289842322469,644.0,30.0,12.2,1.0799999,19,gps,0.8,1.2,1.4,-27.3,,,,96,,1733226369000,2024-12-03T04:46:09.000-07:00,143.05421125856896,1733224973825,Default Profile,false
2024-12-03T11:47:13.000Z,32.61158843524754,-111.24292792752385,630.0,30.0,0.0,0.97999996,16,gps,0.6,1.0,1.2,-27.3,,,,96,,1733226433000,2024-12-03T04:47:13.000-07:00,151.44018693971861,1733224973825,Default Profile,false
2024-12-03T11:48:16.000Z,32.61152942664921,-111.24296078458428,629.0,29.5,0.0,0.84,15,gps,0.8,1.6,1.8,-27.3,,,,96,,1733226496000,2024-12-03T04:48:16.000-07:00,158.68752691377512,1733224973825,Default Profile,false
2024-12-03T11:49:19.000Z,32.61156018823385,-111.24296908266842,617.0,25.0,27.8,1.0799999,19,gps,0.6,0.8,1.0,-27.3,,,,96,,1733226559000,2024-12-03T04:49:19.000-07:00,162.19525181808513,1733224973825,Default Profile,false
2024-12-03T11:50:23.000Z,32.611542670056224,-111.24292457476258,629.0,29.0,0.0,0.26999998,17,gps,0.6,0.8,1.0,-27.3,,,,96,,1733226623000,2024-12-03T04:50:23.000-07:00,166.7967047620728,1733224973825,Default Profile,false
2024-12-03T11:51:26.000Z,32.61151601560414,-111.24297629110515,633.0,24.0,0.0,0.62,19,gps,0.6,0.8,1.0,-27.3,,,,96,,1733226686000,2024-12-03T04:51:26.000-07:00,172.47547914474094,1733224973825,Default Profile,false
2024-12-03T11:52:30.000Z,32.61151790153235,-111.24297872185707,635.0,19.5,0.0,0.089999996,19,gps,0.8,1.0,1.2,-27.3,,,,96,,1733226750000,2024-12-03T04:52:30.000-07:00,172.7850147902324,1733224973825,Default Profile,false
2024-12-03T11:53:39.000Z,32.61156928259879,-111.24293706379831,627.0,28.0,307.2,0.81,19,gps,0.6,1.0,1.2,-27.3,,,,95,,1733226819000,2024-12-03T04:53:39.000-07:00,179.7035831251952,1733224973825,Default Profile,false
2024-12-03T11:54:42.000Z,32.61155578773469,-111.24295374378562,634.0,19.5,0.0,0.42999998,16,gps,0.6,1.0,1.2,-27.3,,,,95,,1733226882000,2024-12-03T04:54:42.000-07:00,181.86980689439198,1733224973825,Default Profile,false
